iter	Passed	Remaining
655	40125	21041
656	40181	20977
657	40241	20916
658	40306	20856
659	40370	20796
660	40435	20737
661	40498	20677
662	40560	20616
663	40632	20561
664	40691	20498
665	40756	20439
666	40822	20380
667	40888	20322
668	40946	20259
669	41011	20199
670	41074	20139
671	41142	20081
672	41198	20017
673	41255	19954
674	41317	19893
675	41393	19839
676	41453	19777
677	41514	19716
678	41581	19657
679	41638	19594
680	41700	19533
681	41770	19476
682	41829	19414
683	41889	19352
684	41957	19294
685	42015	19231
686	42073	19168
687	42137	19108
688	42198	19047
689	42248	18981
690	42309	18919
691	42370	18858
692	42432	18797
693	42493	18736
694	42551	18673
695	42610	18611
696	42669	18549
697	42727	18486
698	42782	18422
699	42842	18361
700	42909	18302
701	42977	18243
702	43030	18179
703	43090	18117
704	43149	18055
705	43204	17991
706	43272	17933
707	43330	17870
708	43384	17806
709	43445	17745
710	43512	17686
711	43568	17623
712	43632	17563
713	43685	17498
714	43747	17437
715	43812	17378
716	43870	17315
717	43934	17255
718	43993	17193
719	44054	17132
720	44120	17073
721	44185	17013
722	44254	16954
723	44316	16893
724	44374	16831
725	44439	16771
726	44505	16712
727	44562	16649
728	44623	16588
729	44688	16528
730	44747	16466
731	44812	16406
732	44874	16345
733	44934	16284
734	44997	16223
735	45057	16161
736	45124	16102
737	45188	16042
738	45253	15982
739	45316	15921
740	45377	15860
741	45439	15799
742	45500	15738
743	45560	15676
744	45620	15614
745	45683	15554
746	45745	15493
747	45810	15433
748	45872	15372
749	45942	15314
750	45998	15251
751	46058	15189
752	46114	15126
753	46180	15066
754	46249	15008
755	46317	14948
756	46372	14885
757	46428	14822
758	46493	14762
759	46559	14702
760	46622	14642
761	46690	14583
762	46750	14521
763	46812	14460
764	46869	14397
765	46928	14335
766	46987	14273
767	47043	14211
768	47104	14149
769	47167	14089
770	47227	14027
771	47293	13967
772	47360	13908
773	47434	13850
774	47499	13790
775	47562	13729
776	47620	13667
777	47676	13604
778	47747	13545
779	47805	13483
780	47859	13420
781	47927	13360
782	47989	13299
783	48051	13238
784	48109	13176
785	48177	13117
786	48242	13056
787	48311	12997
788	48363	12933
789	48425	12872
790	48493	12812
791	48559	12752
792	48613	12689
793	48673	12628
794	48734	12566
795	48785	12502
796	48846	12441
797	48913	12381
798	48970	12319
799	49025	12256
800	49084	12194
801	49145	12133
